19-09-2017 02:24:15 | OVH Server list | IP: 213.251.182.111 ] | DNS: gw-cluster011.ovh.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/533.4 (KHTML, like Gecko) Chrome/5.0.375.99 Safari/533.4 | URL: / | Referer: sedesoft.com

19-09-2017 02:24:18 | OVH Server list | IP: 213.251.182.111 ] | DNS: gw-cluster011.ovh.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/533.4 (KHTML, like Gecko) Chrome/5.0.375.99 Safari/533.4 | URL: / | Referer: sedesoft.com

26-09-2017 10:14:45 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

26-09-2017 10:14:47 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

26-09-2017 10:19:06 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

26-09-2017 10:19:09 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

26-09-2017 10:19:37 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

26-09-2017 10:19:41 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

26-09-2017 10:20:30 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

26-09-2017 10:20:35 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

26-09-2017 10:21:20 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

26-09-2017 10:21:27 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

26-09-2017 10:22:07 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

26-09-2017 10:22:12 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

26-09-2017 10:22:47 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

26-09-2017 10:22:54 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

26-09-2017 10:23:41 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

26-09-2017 10:23:49 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

